,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
21,Wii Sports,Wii,2006.0,,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
64,Super Mario Bros.,NES,1985.0,,Nintendo  ,Nintendo EAD  ,10.0,8.2,29.08,3.58,6.81,0.77,40.24
69,Mario Kart Wii,Wii,2008.0,,Nintendo  ,Nintendo EAD  ,8.2,9.1,15.91,12.92,3.8,3.35,35.98
81,Mario Kart 8 Deluxe,NS,2017.0,,Nintendo  ,Nintendo EPD  ,9.3,,5.05,4.98,2.11,0.91,13.05
83,Wii Sports Resort,Wii,2009.0,,Nintendo  ,Nintendo EAD  ,8.0,8.8,15.61,10.99,3.29,3.02,32.9
88,Pokémon Red / Green / Blue Version,GB,1998.0,,Nintendo  ,Game Freak  ,9.4,,11.27,8.89,10.22,1.0,31.37
93,New Super Mario Bros.,DS,2006.0,,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85
94,New Super Mario Bros. Wii,Wii,2009.0,,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51
95,Tetris,GB,1989.0,,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26
103,Duck Hunt,NES,1985.0,,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31
105,Wii Play,Wii,2007.0,,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92
122,Kinect Adventures!,X360,2010.0,,Microsoft Game Studios  ,Good Science Studio  ,6.7,,15.09,4.97,0.24,1.81,22.1
125,Nintendogs,DS,2005.0,,Nintendo  ,Nintendo EAD  ,8.4,,9.05,10.96,1.93,2.74,24.68
126,Mario Kart DS,DS,2005.0,,Nintendo  ,Nintendo EAD  ,9.1,9.4,9.71,7.51,4.13,1.91,23.26
128,Pokémon Gold / Silver Version,GB,2000.0,,Nintendo  ,Game Freak  ,9.2,,9.0,6.18,7.2,0.71,23.1
132,Super Smash Bros. Ultimate,NS,2018.0,,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95
133,Wii Fit,Wii,2008.0,,Nintendo  ,Nintendo EAD  ,7.9,,8.92,8.03,3.6,2.15,22.7
138,The Legend of Zelda: Breath of the Wild,NS,2017.0,,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46
139,Wii Fit Plus,Wii,2009.0,,Nintendo  ,Nintendo EAD  ,8.0,,9.01,8.51,2.53,1.76,21.81
142,Super Mario World,SNES,1991.0,,Nintendo  ,Nintendo EAD  ,8.5,,12.78,3.75,3.54,0.55,20.61
144,Grand Theft Auto V,PS3,2013.0,,Rockstar Games  ,Rockstar North  ,9.4,,6.37,9.85,0.99,3.12,20.32
145,Super Mario Odyssey,NS,2017.0,,Nintendo  ,Nintendo EPD  ,9.9,,5.1,3.75,2.02,0.84,11.71
151,Marvel's Spider-Man,PS4,2018.0,,Sony Interactive Entertainment  ,Insomniac Games  ,9.1,,3.64,3.39,0.32,1.41,8.76
163,Grand Theft Auto V,PS4,2014.0,,Rockstar Games  ,Rockstar North  ,9.7,,6.06,9.71,0.6,3.02,19.39
167,Brain Age: Train Your Brain in Minutes a Day,DS,2006.0,,Nintendo  ,Nintendo SDD  ,8.1,,4.74,9.21,4.16,2.04,20.16
171,Mario Kart 7,3DS,2011.0,,Nintendo  ,Nintendo EAD / Retro Studios  ,8.2,,6.03,5.35,3.0,1.11,15.49
174,Super Mario Land,GB,1989.0,,Nintendo  ,Nintendo R&D1  ,,,10.83,2.71,4.18,0.42,18.14
175,Pokémon Diamond / Pearl Version,DS,2007.0,,Nintendo  ,Game Freak  ,8.6,,6.38,4.47,6.04,1.36,18.25
177,Grand Theft Auto: San Andreas,PS2,2004.0,,Rockstar Games  ,Rockstar North  ,9.5,,9.43,0.4,0.41,10.57,20.81
178,Super Mario Bros. 3,NES,1990.0,,Nintendo  ,Nintendo R&D2  ,,,9.54,3.44,3.84,0.46,17.28
191,Pokémon X/Y,3DS,2013.0,,Nintendo  ,Game Freak  ,8.9,9.7,5.68,5.06,4.4,0.99,16.13
192,Uncharted 4: A Thief's End,PS4,2016.0,,Sony Interactive Entertainment  ,Naughty Dog  ,9.2,,4.49,3.93,0.21,1.7,10.33
193,Pokémon Ruby / Sapphire Version,GBA,2003.0,,Nintendo  ,Game Freak  ,8.8,,6.06,3.9,5.38,0.5,15.85
194,Pokémon Sun/Moon,3DS,2016.0,,Nintendo  ,Game Freak  ,9.0,,6.02,4.34,3.82,0.99,15.17
195,Grand Theft Auto: Vice City,PS2,2002.0,,Rockstar Games  ,Rockstar North  ,9.6,,8.41,5.49,0.47,1.78,16.15
201,Grand Theft Auto V,X360,2013.0,,Rockstar Games  ,Rockstar North  ,,,9.06,5.33,0.06,1.42,15.86
203,Pokémon Black / White Version,DS,2011.0,,Nintendo  ,Game Freak  ,8.6,9.0,5.51,3.2,5.66,0.8,15.18
205,Call of Duty: Black Ops 3,PS4,2015.0,,Activision  ,Treyarch  ,,,6.18,6.05,0.41,2.44,15.09
216,Sonic the Hedgehog,GEN,1991.0,,Sega  ,Sonic Team  ,,,3.03,0.91,0.26,0.13,4.34
219,Gran Turismo 3: A-Spec,PS2,2001.0,,Sony Computer Entertainment  ,Polyphony Digital  ,9.3,,6.85,5.09,1.87,1.16,14.98
220,Brain Age 2: More Training in Minutes a Day,DS,2007.0,,Nintendo  ,Nintendo SDD  ,8.0,,3.43,5.36,5.32,1.18,15.29
221,Call of Duty: Modern Warfare 3,X360,2011.0,,Activision  ,Infinity Ward  ,8.7,,9.07,4.29,0.13,1.33,14.82
222,Call of Duty: Black Ops,X360,2010.0,,Activision  ,Treyarch  ,8.8,,9.76,3.73,0.11,1.14,14.74
223,Pokémon Yellow: Special Pikachu Edition,GB,1999.0,,Nintendo  ,Game Freak  ,8.7,,5.89,5.04,3.12,0.59,14.64
226,Halo 3,X360,2007.0,,Microsoft Game Studios  ,Bungie Studios  ,9.6,9.5,7.97,2.81,0.13,1.21,12.13
228,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,2014.0,,Nintendo  ,Game Freak  ,,,4.78,3.98,3.15,0.82,12.73
238,Red Dead Redemption 2,PS4,2018.0,,Rockstar Games  ,Rockstar Games  ,9.8,,5.26,6.21,0.21,2.26,13.94
240,Call of Duty: Black Ops II,X360,2012.0,,Activision  ,Treyarch  ,,,8.27,4.32,0.07,1.2,13.86
241,Super Mario Party,NS,2018.0,,Nintendo  ,"Nd Cube Co., Ltd.  ",7.3,,2.12,1.64,0.85,0.36,4.97
242,Call of Duty: Black Ops II,PS3,2012.0,,Activision  ,Treyarch  ,,,4.99,5.88,0.65,2.28,13.8
243,Call of Duty: Modern Warfare 2,X360,2009.0,,Activision  ,Infinity Ward  ,9.5,9.0,8.54,3.63,0.08,1.28,13.53
245,Call of Duty: WWII,PS4,2017.0,,Activision  ,Sledgehammer Games  ,8.0,,4.67,6.21,0.4,2.12,13.4
246,New Super Mario Bros. 2,3DS,2012.0,,Nintendo  ,Nintendo  ,7.5,,3.95,4.07,2.59,0.72,11.33
247,Call of Duty: Modern Warfare 3,PS3,2011.0,,Activision  ,Infinity Ward  ,8.8,,5.54,5.78,0.49,1.54,13.35
248,Super Smash Bros. Brawl,Wii,2008.0,,Nintendo  ,Project Sora  ,9.2,9.7,6.64,2.57,2.67,1.03,12.91
249,Grand Theft Auto III,PS2,2001.0,,Rockstar Games  ,DMA Design  ,9.5,,6.99,4.51,0.3,1.3,13.1
256,Minecraft,X360,2013.0,,Microsoft Studios  ,Mojang  ,,,5.96,2.94,0.02,0.9,9.82
259,Animal Crossing: New Leaf,3DS,2013.0,,Nintendo  ,Nintendo EAD  ,8.6,,2.46,3.06,4.9,0.48,10.9
260,Super Mario Galaxy,Wii,2007.0,,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.6,6.06,3.38,1.2,0.76,11.4
261,Super Mario 3D Land,3DS,2011.0,,Nintendo  ,Nintendo EAD Tokyo  ,8.9,,5.1,3.46,2.15,0.85,11.56
262,Pokémon Heart Gold / Soul Silver Version,DS,2010.0,,Nintendo  ,Game Freak  ,8.6,,4.34,2.72,3.96,0.76,11.78
263,Call of Duty: Black Ops,PS3,2010.0,,Activision  ,Treyarch  ,8.7,,6.01,4.4,0.48,1.78,12.67
283,Pokémon FireRed / LeafGreen Version,GBA,2004.0,,Nintendo  ,Game Freak  ,8.3,,4.34,2.65,3.15,0.35,10.49
286,Gran Turismo 5,PS3,2010.0,,Sony Computer Entertainment  ,Polyphony Digital  ,8.3,,2.96,4.87,0.81,2.1,10.75
287,Super Mario 64,N64,1996.0,,Nintendo  ,Nintendo EAD  ,9.7,9.2,6.91,2.85,1.91,0.23,11.89
288,Splatoon 2,NS,2017.0,,Nintendo  ,Nintendo EPD  ,8.2,,1.9,1.8,3.01,0.34,7.04
289,FIFA 18,PS4,2017.0,,EA Sports  ,EA Vancouver  ,8.3,,1.27,8.64,0.15,1.73,11.8
290,The Last of Us Remastered,PS4,2014.0,,Sony Computer Entertainment  ,Naughty Dog  ,9.5,,2.7,2.86,0.11,1.1,6.77
291,Gran Turismo 4,PS2,2005.0,,Sony Computer Entertainment  ,Polyphony Digital  ,8.7,,3.01,0.01,1.1,7.53,11.66
292,Animal Crossing: Wild World,DS,2005.0,,Nintendo  ,Nintendo EAD  ,8.5,,2.5,3.46,5.33,0.86,12.14
296,Super Mario Land 2: 6 Golden Coins,GB,1992.0,,Nintendo  ,Nintendo R&D1  ,9.0,,6.16,2.04,2.69,0.29,11.18
298,Grand Theft Auto IV,X360,2008.0,,Rockstar Games  ,Rockstar North  ,10.0,,6.8,3.11,0.14,1.04,11.09
306,God of War (2018),PS4,2018.0,,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.7,10.0,2.83,2.17,0.13,1.02,6.15
312,FIFA 17,PS4,2016.0,,Electronic Arts  ,EA Canada  ,8.9,,1.26,7.95,0.12,1.61,10.94
